GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA06_1234: Total population 15 to 24 years by highest certificate, diploma or degree - 20% sample data","v_CA06_1248: Total population 25 to 64 years by highest certificate, diploma or degree - 20% sample data",v_CA06_1242: University certificate or degree,"v_CA06_1262: Total population 65 years and over by highest certificate, diploma or degree - 20% sample data",v_CA06_1270: University certificate or degree
4620403.00,CT,Mont-Royal,1.32848,4973,1935,1818,670.00,2555.00,110.00,730.00,300.00
4620404.00,CT,Mont-Royal,1.43823,5030,1810,1746,580.00,2255.00,135.00,950.00,320.00
4620410.01,CT,Montréal,0.86031,5188,2156,2085,630.00,2605.00,65.00,1030.00,155.00
4620410.02,CT,Montréal,0.76952,5117,2856,2680,345.00,2175.00,35.00,2030.00,450.00
4620410.03,CT,Montréal,2.18435,1801,608,581,300.00,865.00,10.00,250.00,20.00
4620412.00,CT,Montréal,1.46408,5516,2157,2066,690.00,2925.00,90.00,915.00,140.00
4620413.00,CT,Montréal,1.58195,7655,2938,2789,1100.00,4045.00,95.00,1165.00,245.00
4620415.01,CT,Montréal,28.87051,7723,3310,3077,695.00,4755.00,75.00,665.00,130.00
4620415.03,CT,Montréal,0.27481,4088,1999,1910,395.00,2260.00,50.00,890.00,105.00
4620415.04,CT,Montréal,0.47257,4948,2341,2147,530.00,2365.00,50.00,1145.00,110.00
4620416.01,CT,Montréal,0.84812,4249,1436,1413,540.00,2270.00,70.00,820.00,160.00
4620416.02,CT,Montréal,1.0618,3013,1169,1130,345.00,1645.00,20.00,445.00,35.00
4620417.01,CT,Montréal,0.67011,3933,1486,1443,495.00,2120.00,65.00,545.00,45.00
4620417.02,CT,Montréal,0.37707,3123,961,929,545.00,1590.00,25.00,175.00,10.00
4620418.00,CT,Montréal,1.29497,5233,2364,2268,660.00,3010.00,70.00,720.00,110.00
4620419.00,CT,Montréal,0.37903,4863,1816,1747,655.00,2630.00,45.00,460.00,25.00
4620420.00,CT,Montréal,0.82564,5045,2009,1835,540.00,2445.00,40.00,960.00,105.00
4620421.01,CT,Montréal,0.38919,7001,2935,2754,745.00,3565.00,50.00,850.00,80.00
4620421.02,CT,Montréal,0.55094,6337,2746,2568,760.00,3300.00,60.00,975.00,130.00
4620430.00,CT,Dorval,1.98171,5791,2966,2830,665.00,3285.00,45.00,1020.00,180.00
4620431.00,CT,Dorval,2.18532,5459,2466,2365,730.00,2905.00,45.00,990.00,150.00
4620432.00,CT,Dorval,1.30584,3284,1270,1239,375.00,1755.00,30.00,505.00,110.00
4620433.00,CT,Montréal,15.4224,3554,1416,1377,505.00,1980.00,10.00,480.00,35.00
4620440.00,CT,L'Île-Dorval,0.18037,0,59,1,x,x,x,x,x
4620450.00,CT,Pointe-Claire,3.76634,7142,3265,3095,775.00,3475.00,75.00,1630.00,530.00
4620451.00,CT,Pointe-Claire,3.32637,6745,2815,2725,885.00,3465.00,65.00,1165.00,215.00
4620452.00,CT,Pointe-Claire,3.17058,6865,3198,2954,960.00,3360.00,95.00,1410.00,235.00
4620453.01,CT,Pointe-Claire,1.98084,5131,1857,1824,740.00,2725.00,50.00,665.00,105.00
4620453.02,CT,Pointe-Claire,6.63867,4278,1473,1451,585.00,2470.00,15.00,300.00,35.00
4620460.00,CT,Beaconsfield,3.57925,5303,1858,1821,700.00,2720.00,75.00,760.00,365.00
4620461.00,CT,Beaconsfield,1.85099,2898,1047,1015,335.00,1445.00,30.00,510.00,180.00
4620462.01,CT,Beaconsfield,2.36987,5140,1923,1866,690.00,2670.00,75.00,760.00,215.00
4620462.02,CT,Beaconsfield,3.20976,5853,1921,1856,885.00,3095.00,70.00,535.00,175.00
4620470.01,CT,Kirkland,3.59357,7213,2739,2632,1010.00,3750.00,140.00,1110.00,145.00
4620470.03,CT,Kirkland,2.39204,4994,1460,1439,835.00,2700.00,70.00,225.00,40.00
4620470.04,CT,Kirkland,1.54969,3951,1234,1215,670.00,2205.00,45.00,330.00,95.00
4620470.05,CT,Kirkland,2.11144,4333,1267,1252,830.00,2365.00,95.00,305.00,55.00
4620480.00,CT,Baie-D'Urfé,6.02704,3902,1423,1378,460.00,1945.00,50.00,695.00,240.00
4620490.00,CT,Sainte-Anne-de-Bellevue,0.71148,2597,1414,1307,435.00,1435.00,55.00,380.00,15.00
4620491.00,CT,Sainte-Anne-de-Bellevue,9.86777,2600,720,702,165.00,1235.00,10.00,75.00,10.00
4620500.00,CT,Senneville,7.48433,962,385,368,120.00,520.00,35.00,175.00,65.00
4620511.01,CT,Montréal,1.45016,3351,1149,1112,465.00,1705.00,15.00,435.00,55.00
4620511.02,CT,Montréal,1.50948,5876,2333,2200,800.00,3185.00,20.00,500.00,90.00
4620512.02,CT,Montréal,1.45973,4433,1851,1744,615.00,2340.00,45.00,720.00,75.00
4620512.03,CT,Montréal,0.68384,1600,1003,953,100.00,910.00,0.00,415.00,85.00
4620512.04,CT,Montréal,1.76498,6322,2431,2317,870.00,3425.00,35.00,750.00,120.00
