GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA1996_1681: Average value of dwelling $,v_CA1996_1701: Average gross rent $,v_CA1996_1347: Total population 15 years and over by highest level of schooling,v_CA1996_1360: With bachelor's degree or higher
4620188.02,CT,Montréal,0.223758518082857,2184,1219,1205,132682,466,1930,400
4620189.00,CT,Montréal,1.54236980366099,0,0,0,x,x,x,x
4620190.01,CT,Montréal,0.455022476946592,3529,1788,1780,146254,543,3175,475
4620190.02,CT,Montréal,1.03913121705088,3546,1848,1835,174309,777,3210,740
4620191.00,CT,Montréal,1.67203890495129,6239,2955,2920,160956,561,5390,955
4620192.00,CT,Montréal,0.780506238813043,2684,880,880,140308,416,1815,425
4620193.00,CT,Montréal,0.271986182768241,2005,894,895,138707,511,1690,170
4620194.00,CT,Montréal,1.16602968304861,5332,2146,2140,135802,500,4100,400
4620195.01,CT,Montréal,0.577672149158359,3750,1649,1640,174627,520,2925,385
4620195.02,CT,Montréal,0.60532654706502,5408,2373,2360,197590,528,4600,590
4620195.03,CT,Montréal,0.91094082034874,5251,2270,2255,215133,554,4630,545
4620196.00,CT,Montréal,0.396430071634531,3818,2053,2045,157937,512,3320,520
4620197.00,CT,Montréal,0.625444945632935,4576,2311,2305,161677,522,3870,410
4620198.00,CT,Montréal,0.67216073588109,4715,2450,2440,129130,470,4140,490
4620199.00,CT,Montréal,0.224401796275467,2274,1210,1200,117943,484,1980,235
4620200.00,CT,Montréal,0.31945413523984,3984,2023,2020,125921,473,3360,295
4620201.00,CT,Montréal,0.92227026547569,6043,3110,3095,129480,448,5015,595
4620202.00,CT,Montréal,0.613643250766993,4160,2270,2245,148208,482,3620,560
4620203.00,CT,Montréal,0.23616682048583,2770,1493,1485,136664,508,2435,480
4620204.00,CT,Montréal,0.235479371785879,2712,1443,1435,120263,494,2365,385
4620205.00,CT,Montréal,0.175704477881432,2145,1166,1155,124675,444,1875,420
4620206.00,CT,Montréal,0.230789589156866,2752,1417,1410,138718,528,2380,400
4620207.00,CT,Montréal,0.256447383913279,3469,1721,1710,124128,482,2890,300
4620208.00,CT,Montréal,0.203281122805119,2556,1274,1270,117618,450,2105,290
4620209.00,CT,Montréal,0.668729315569162,5894,2822,2800,128265,474,4850,740
4620210.00,CT,Montréal,0.344912620158911,3217,1802,1770,106789,475,2805,360
4620211.00,CT,Montréal,0.179370174564123,2348,1219,1205,117264,469,2000,410
4620212.00,CT,Montréal,0.194005281973839,2456,1276,1270,114405,526,2120,345
4620213.00,CT,Montréal,0.19540987597847,2633,1320,1315,101409,473,2140,375
4620214.00,CT,Montréal,0.24969612340489,2619,1311,1295,119546,535,2300,450
4620215.00,CT,Montréal,0.23218101025939,2218,1142,1125,103646,454,1885,335
4620216.00,CT,Montréal,0.321068405861616,2286,1145,1135,97722,492,1915,260
4620217.00,CT,Montréal,0.157338718023598,2777,1307,1305,117129,493,2295,310
4620218.00,CT,Montréal,0.276631112968087,3219,1512,1490,131096,498,2680,480
4620219.00,CT,Montréal,0.302046089610219,2294,960,955,129242,478,1890,160
4620220.00,CT,Montréal,0.396217546152592,5842,2310,2305,131902,430,4675,380
4620221.00,CT,Montréal,0.320811865674049,6593,2611,2605,170819,437,5370,370
4620222.00,CT,Montréal,0.200058078184009,3954,1475,1470,119237,489,3215,230
4620223.01,CT,Montréal,0.147468610260367,4008,1446,1445,149622,492,3145,220
4620223.02,CT,Montréal,0.199336426041126,3440,1235,1230,134093,496,2755,295
4620224.00,CT,Montréal,0.370219942091465,6033,2256,2255,154186,486,4805,375
4620225.00,CT,Montréal,0.661333148151696,1408,639,635,153702,512,1220,220
4620226.00,CT,Montréal,0.251070145463705,3188,1549,1535,136193,489,2750,475
4620227.00,CT,Montréal,0.118079789970875,1591,779,775,127626,560,1360,245
4620228.00,CT,Montréal,0.114997091740131,1656,776,775,118997,516,1400,380
4620229.00,CT,Montréal,0.479547134163857,0,0,0,x,x,x,x
