GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_4890: Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data"
4620308.00,CT,Montréal,0.17394,2693,1427,1352,170,1170
4620309.00,CT,Montréal,0.18645,1364,640,622,225,395
4620310.00,CT,Montréal,0.42811,3387,1686,1603,595,995
4620311.00,CT,Montréal,0.35746,4003,2146,2017,295,1700
4620312.00,CT,Montréal,0.30671,3241,1719,1621,495,1140
4620313.00,CT,Montréal,0.39766,3249,1586,1523,460,1090
4620314.00,CT,Montréal,0.25747,2466,1229,1162,385,755
4620315.00,CT,Montréal,0.81056,240,5,5,x,x
4620316.00,CT,Montréal,0.5697,2239,871,850,650,195
4620317.02,CT,Montréal,1.30004,7929,4169,3882,2120,1745
4620317.03,CT,Montréal,0.8224,4349,2323,2176,1845,355
4620317.04,CT,Montréal,1.6735,8183,3780,3584,1615,1975
4620320.00,CT,Montréal,0.67752,4683,2271,2133,1050,1115
4620321.00,CT,Montréal,1.08883,2921,1506,1387,570,785
4620322.02,CT,Montréal,0.77636,3850,1762,1673,780,865
4620322.03,CT,Montréal,0.75375,4751,2499,2361,590,1755
4620322.04,CT,Montréal,0.45613,3345,1470,1377,640,755
4620323.00,CT,Montréal,0.62315,2862,1289,1191,455,760
4620324.01,CT,Montréal,0.68982,4894,2324,2130,810,1340
4620324.02,CT,Montréal,0.67154,2806,1281,1148,420,715
4620325.01,CT,Montréal,0.39421,3715,1555,1454,545,900
4620325.02,CT,Montréal,0.97653,6575,2961,2764,700,2060
4620325.03,CT,Montréal,0.46694,3702,1605,1507,530,975
4620325.05,CT,Montréal,0.91319,6994,3298,3039,1910,1130
4620325.06,CT,Montréal,0.77396,4225,2002,1925,1215,710
4620326.01,CT,Montréal,2.53977,2822,1201,1129,350,785
4620326.02,CT,Montréal,1.08644,3386,1715,1570,560,1020
4620326.03,CT,Montréal,1.31943,4976,2028,1906,690,1210
4620327.00,CT,Montréal,1.09085,4737,2248,2078,795,1265
4620328.00,CT,Montréal,0.44262,1940,860,798,0,785
4620329.00,CT,Montréal,0.62907,3669,1882,1700,675,1045
4620330.00,CT,Montréal,2.05794,5239,2605,2371,760,1615
4620340.00,CT,Montréal-Ouest,1.36843,5050,1956,1850,1435,415
4620350.00,CT,Westmount,0.55949,2525,1250,1121,535,610
4620351.00,CT,Westmount,0.46097,4984,3147,2715,850,1840
4620352.00,CT,Westmount,0.48839,3113,1463,1357,570,770
4620353.00,CT,Westmount,0.4142,2999,1242,1166,710,470
4620354.00,CT,Westmount,0.81053,3092,1044,1001,890,95
4620355.00,CT,Westmount,0.30734,1573,772,672,375,305
4620356.00,CT,Westmount,1.00473,2026,699,653,640,25
4620360.00,CT,Montréal,1.42552,1923,680,624,545,100
