GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA1996_1627: Median household income $
4620260.00,CT,Montréal,0.530428423488617,2255,815,815,21595
4620261.00,CT,Montréal,0.621945840236068,2726,1022,1020,24437
4620262.00,CT,Montréal,0.740958499219418,4748,1592,1595,26006
4620263.00,CT,Montréal,0.752581206929326,4047,1593,1590,26770
4620264.01,CT,Montréal,1.19900969840236,5577,2464,2415,42846
4620264.02,CT,Montréal,0.882783339998484,4522,2216,2180,45423
4620265.00,CT,Montréal,0.4862253720963,4421,2192,2100,30288
4620266.00,CT,Montréal,0.77073939357537,3190,1587,1570,23317
4620267.00,CT,Montréal,1.12868598604104,6177,2424,2415,26569
4620268.01,CT,Montréal,0.571951299706459,5519,2803,2785,31587
4620268.02,CT,Montréal,0.347880587828875,3772,1523,1520,23340
4620268.03,CT,Montréal,1.31236672027832,0,0,0,x
4620269.00,CT,Montréal,0.784301980850577,3974,1907,1895,21961
4620270.00,CT,Montréal,0.68843459464325,4073,2093,2065,29601
4620271.00,CT,Montréal,0.488970687809899,3095,1455,1450,37405
4620272.00,CT,Montréal,0.487240392826796,3601,1799,1785,26544
4620273.00,CT,Montréal,0.576070901223421,4395,2021,2015,30274
4620274.00,CT,Montréal,0.484975547013283,3039,1346,1345,29314
4620275.00,CT,Montréal,0.61474957160008,4008,1957,1950,30837
4620276.00,CT,Montréal,0.837948423409134,4776,2392,2375,27564
4620277.00,CT,Montréal,0.533391322396517,4107,1865,1850,23980
4620278.00,CT,Montréal,0.589208862763405,4257,2113,2095,29809
4620279.00,CT,Montréal,0.938618074203134,4130,1989,1980,31585
4620280.00,CT,Montréal,0.607203736150265,4267,2100,2090,30606
4620281.00,CT,Montréal,1.07248976186627,3616,1531,1525,42584
4620282.00,CT,Montréal,1.32266369951218,6148,2519,2505,31280
4620283.01,CT,Montréal,0.61197765934515,3832,1370,1365,39967
4620283.02,CT,Montréal,0.462576376961768,3047,1197,1195,29403
4620284.00,CT,Montréal,0.581777503265858,3370,1519,1510,33618
4620285.00,CT,Montréal,1.50496975123185,6737,2277,2265,31330
4620286.00,CT,Montréal,0.804124913006783,4808,1930,1925,25258
4620287.01,CT,Montréal,0.534883573700666,5384,2583,2565,18132
4620287.02,CT,Montréal,1.05197016595274,4247,1563,1555,40372
4620288.00,CT,Montréal,1.85887607417346,1372,566,565,49950
4620290.01,CT,Montréal,1.19205281431842,1998,737,735,40262
4620290.02,CT,Montréal,1.71387176978374,5927,1922,1920,40440
4620290.03,CT,Montréal,0.636292107839227,3990,1474,1470,37042
4620290.04,CT,Montréal,2.82730334756088,6138,2026,2025,42150
4620290.05,CT,Montréal,2.22746406657612,5331,1994,1990,33837
4620290.06,CT,Montréal,0.965324151491702,6232,1887,1885,39009
4620290.07,CT,Montréal,0.567927473604321,2942,1016,1015,30288
4620290.08,CT,Montréal,1.09610061768526,4260,1384,1385,45809
4620290.09,CT,Montréal,1.14389416341972,5365,1709,1705,41819
4620291.00,CT,Montréal,10.9733136139534,8669,2636,2630,46722
4620300.00,CT,Verdun,0.507866567334466,2190,1108,1105,15059
4620301.00,CT,Verdun,0.428104333141744,4689,2328,2325,22012
4620302.00,CT,Verdun,0.201752597672582,2812,1387,1385,17374
4620303.00,CT,Verdun,0.258390389171317,2052,1039,1035,17480
4620304.00,CT,Verdun,0.280582434740141,2578,1400,1395,18644
4620305.00,CT,Verdun,0.350833707936645,3365,1745,1740,20441
4620306.00,CT,Verdun,0.223334860283613,3037,1456,1450,21400
4620307.00,CT,Verdun,0.175130748522758,3263,1497,1490,18074
4620308.00,CT,Verdun,0.178896622633457,2773,1293,1285,18797
4620309.00,CT,Verdun,0.191417393148333,1254,588,585,27466
4620310.00,CT,Verdun,0.45703208581388,3567,1639,1635,27055
4620311.00,CT,Verdun,0.348399508601666,4091,1966,1960,19511
4620312.00,CT,Verdun,0.293369090765476,3316,1607,1605,25675
4620313.00,CT,Verdun,0.359682903577983,3363,1509,1500,32436
4620314.00,CT,Verdun,0.259966912288547,2687,1209,1205,35523
4620315.00,CT,Verdun,0.816580545731544,425,3,0,N
4620316.00,CT,Verdun,0.606028420499753,2066,819,820,45278
4620317.01,CT,Verdun,2.43579023782758,6465,3494,3410,55841
4620317.02,CT,Verdun,1.18376664613764,5721,2977,2880,62871
4620320.00,CT,LaSalle,0.678128361858725,4658,2136,2130,33918
4620321.00,CT,LaSalle,0.943088759429157,2889,1346,1345,26788
4620322.01,CT,LaSalle,1.19870486056767,7778,3791,3785,32732
4620322.02,CT,LaSalle,0.772556311733253,3816,1623,1620,37965
4620323.00,CT,LaSalle,0.564950020044327,3210,1331,1325,34011
4620324.01,CT,LaSalle,0.687825721307278,4288,1783,1775,39313
4620324.02,CT,LaSalle,0.651625630245924,2728,1044,1040,30165
4620325.01,CT,LaSalle,0.390070285583735,4009,1451,1450,37228
4620325.02,CT,LaSalle,0.99319974475944,5910,2437,2430,30912
4620325.03,CT,LaSalle,0.480448220082283,3759,1449,1445,34626
4620325.04,CT,LaSalle,1.77649907556531,7287,3012,2980,43485
4620326.01,CT,LaSalle,2.48884310944509,3006,1155,1145,37187
4620326.02,CT,LaSalle,1.08343660767918,3604,1596,1590,29669
4620326.03,CT,LaSalle,1.30577045252419,4805,1840,1835,33241
4620327.00,CT,LaSalle,1.1250335035131,4783,2054,2045,33328
4620328.00,CT,LaSalle,0.474468086218834,1967,789,790,17859
4620329.00,CT,LaSalle,0.708992194024917,3532,1613,1600,31255
4620330.00,CT,Saint-Pierre,1.97681631016362,4739,2034,2025,24761
4620340.00,CT,Montréal-Ouest,1.49273841573089,5254,1839,1830,68842
4620350.00,CT,Westmount,0.547589291355968,2439,1238,1215,33424
4620351.00,CT,Westmount,0.466422580114484,5159,2937,2790,53322
4620352.00,CT,Westmount,0.474720311685801,2844,1277,1245,54207
4620353.00,CT,Westmount,0.417876587237716,3003,1209,1185,82362
4620354.00,CT,Westmount,0.825036301862866,3310,1023,1005,147458
4620355.00,CT,Westmount,0.311167006898642,1471,618,600,86970
4620356.00,CT,Westmount,0.979053538538098,2194,698,685,194331
4620360.00,CT,Outremont,1.45293646322745,2307,607,590,114785
4620361.00,CT,Outremont,0.126409491019785,1481,810,760,35330
4620362.00,CT,Outremont,0.554683433218956,2593,895,880,70577
4620363.00,CT,Outremont,0.364818043820053,4751,1960,1930,48990
4620364.00,CT,Outremont,0.223555643155992,2497,965,955,36651
4620365.00,CT,Outremont,0.24346756703347,2549,1126,1110,45445
4620366.00,CT,Outremont,0.333651413181245,2562,1055,1040,61722
4620367.00,CT,Outremont,0.559116110085964,3831,1834,1825,41846
4620370.00,CT,Hampstead,1.80154808651495,6986,2536,2525,75078
4620380.00,CT,Côte-Saint-Luc,0.792465665476903,4117,1809,1810,36199
4620381.00,CT,Côte-Saint-Luc,0.588669339923382,5335,2698,2690,22835
4620382.01,CT,Côte-Saint-Luc,0.572235183480382,3709,1622,1615,40256
4620382.02,CT,Côte-Saint-Luc,1.57700592108613,4392,1520,1515,51546
4620383.01,CT,Côte-Saint-Luc,1.60985196414208,3528,1069,1065,46281
4620383.02,CT,Côte-Saint-Luc,1.49195155649924,6820,3296,3285,38864
4620385.00,CT,Côte-Saint-Luc,0.0377588823711872,1464,969,965,38411
