GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_4305: Total - Owner households in non-farm, non-reserve private dwellings","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings"
4620689.01,CT,0689.01,2.7413,7001,2536,2503,2155,350
4620689.02,CT,0689.02,1.5687,3762,1344,1331,1115,230
4620689.04,CT,0689.04,31.7587,5662,2063,2031,1600,415
4620689.05,CT,0689.05,2.0195,3130,1042,1026,830,205
4620689.06,CT,0689.06,1.6296,5151,1901,1864,1420,430
4620690.00,CT,0690.00,65.4346,8310,3460,3369,2520,825
4620691.00,CT,0691.00,2.7854,6115,2513,2469,1895,575
4620692.01,CT,0692.01,5.4481,7142,2654,2627,2165,450
4620692.02,CT,0692.02,58.4902,2279,975,958,765,190
4620693.00,CT,0693.00,2.0142,5329,2645,2568,1110,1460
4620694.01,CT,0694.01,23.9604,4904,1671,1643,1405,190
4620694.02,CT,0694.02,8.8236,3788,1424,1410,1320,120
4620700.01,CT,0700.01,1.3279,5078,2575,2481,900,1560
4620700.03,CT,0700.03,1.541,2854,1278,1264,695,575
4620700.04,CT,0700.04,1.5524,4479,2342,2291,1135,1170
4620701.01,CT,0701.01,1.7309,3374,1396,1368,1115,260
4620701.02,CT,0701.02,2.6333,6785,2974,2890,2080,805
4620702.01,CT,0702.01,2.0184,2672,1034,1024,975,45
4620702.02,CT,0702.02,3.884,6830,2403,2369,2345,30
4620703.02,CT,0703.02,4.3175,4045,1664,1632,1305,325
4620703.03,CT,0703.03,3.1149,4487,1695,1658,1450,210
4620703.04,CT,0703.04,3.252,5558,1981,1959,1865,90
4620704.01,CT,0704.01,1.7624,4968,2506,2433,1030,1390
4620704.04,CT,0704.04,1.7945,4299,1670,1663,1515,165
4620704.05,CT,0704.05,4.8819,5965,2336,2308,1825,480
4620704.06,CT,0704.06,2.2261,2076,869,828,685,145
4620704.08,CT,0704.08,14.5355,5252,1580,1488,935,485
4620704.09,CT,0704.09,2.4731,5748,2808,2705,1375,1395
4620705.01,CT,0705.01,1.5821,3338,1241,1232,1220,15
4620705.02,CT,0705.02,1.9111,5003,2382,2325,1020,1305
4620706.00,CT,0706.00,1.3666,3756,2346,2251,705,1520
4620707.00,CT,0707.00,1.8606,5530,2709,2531,790,1765
4620708.01,CT,0708.01,1.2099,4630,2374,2260,840,1440
4620708.02,CT,0708.02,1.5496,4276,2150,2087,1330,740
4620709.01,CT,0709.01,3.6965,9706,4005,3928,2845,1080
4620709.02,CT,0709.02,2.3843,6406,2730,2662,1780,880
4620710.03,CT,0710.03,3.0903,8619,3369,3306,2590,715
4620710.05,CT,0710.05,32.1803,9560,3302,3222,2710,520
4620710.06,CT,0710.06,2.0968,3346,1297,1289,1175,100
4620710.07,CT,0710.07,3.3873,5022,1950,1902,1455,495
4620710.08,CT,0710.08,1.2329,4182,1752,1723,1050,630
4620710.09,CT,0710.09,3.4694,5378,1622,1612,1600,15
4620710.10,CT,0710.10,2.517,4911,1767,1733,1420,320
4620710.11,CT,0710.11,0.9144,2689,1065,1047,800,240
4620725.03,CT,0725.03,1.5393,3613,1501,1477,1130,385
4620725.04,CT,0725.04,2.8183,3482,1465,1435,1125,310
4620725.06,CT,0725.06,52.7557,2433,1059,1015,780,125
4620725.07,CT,0725.07,1.4729,6244,2214,2195,2015,175
4620725.09,CT,0725.09,2.1882,3813,1198,1189,1155,40
4620725.10,CT,0725.10,3.1965,5073,2094,2067,1635,425
4620726.01,CT,0726.01,1.8565,6373,3017,2942,1790,1160
4620726.03,CT,0726.03,1.2608,4915,2308,2249,1115,1130
4620726.04,CT,0726.04,0.7953,1804,697,693,660,30
4620727.01,CT,0727.01,1.1241,3281,1754,1710,665,1085
4620727.02,CT,0727.02,1.5064,4245,2089,1986,1010,940
4620728.01,CT,0728.01,1.7653,6533,2592,2557,1895,665
4620728.02,CT,0728.02,1.9146,4489,1857,1812,1380,445
4620728.03,CT,0728.03,0.9144,2711,1098,1071,885,160
4620729.00,CT,0729.00,1.483,4182,1916,1826,985,860
