GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_5817: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households",v_CA21_5847: Bachelor's degree or higher,"v_CA21_5865: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households",v_CA21_5895: Bachelor's degree or higher
4622014.00,CT,2014.00,1.4903,3898,1948,1918,3130,455,1510,260
4622015.00,CT,2015.00,1.2365,4825,3264,3139,4330,420,2115,265
4622100.00,CT,2100.00,9.4352,1960,719,714,1665,290,1135,255
4622101.00,CT,2101.00,7.8321,1021,407,391,760,105,505,80
4622102.00,CT,2102.00,48.6185,1041,408,399,825,85,565,75
4622103.00,CT,2103.00,3.6128,1663,750,740,1435,110,970,90
4622200.00,CT,2200.00,2.1771,5633,2217,2195,4525,800,3070,685
4622201.00,CT,2201.00,1.4669,4350,1735,1713,3620,595,2330,500
4622202.00,CT,2202.00,3.6374,7801,3255,3183,6335,1335,4000,1075
4622203.00,CT,2203.00,2.5937,3907,1478,1451,3135,720,2195,645
4622204.00,CT,2204.00,4.5757,955,376,363,800,145,560,125
4622205.00,CT,2205.00,3.3194,4166,1741,1709,3205,800,2180,670
4622206.00,CT,2206.00,26.6505,1905,683,667,1480,315,1055,280
4622207.00,CT,2207.00,7.0225,911,336,332,785,185,460,160
4622300.00,CT,2300.00,1.3254,2908,1327,1284,2410,410,1390,310
4622301.00,CT,2301.00,0.8972,3310,1638,1543,2395,230,1465,175
4622302.00,CT,2302.00,1.0126,2544,1241,1202,2140,200,1360,145
4622303.00,CT,2303.00,1.2811,10,3,3,,,,
4622304.00,CT,2304.00,0.6978,1068,451,444,850,220,500,135
4622400.00,CT,2400.00,46.398,2778,1196,1148,2280,245,1435,185
4622401.00,CT,2401.00,4.4208,4091,1574,1546,3230,510,2255,415
4622402.00,CT,2402.00,2.7911,3787,1333,1302,2715,615,1865,520
