GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,NHS Non Return Rate,"v_CA11N_2281: Number of owner households in non-farm, non-reserve private dwellings","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings"
4620659.04,CT,Laval,6.05161,4018,1305,1266,0.193,1265.0,0.0
4620659.05,CT,Laval,2.3792,7273,2646,2629,0.106,2270.0,360.0
4620659.06,CT,Laval,1.75367,4140,1974,1918,0.295,1160.0,750.0
4620659.08,CT,Laval,1.36495,6511,2340,2313,0.251,1995.0,320.0
4620659.09,CT,Laval,0.9275,3108,932,924,0.253,915.0,0.0
4620659.10,CT,Laval,1.09345,3335,1011,991,0.223,975.0,0.0
4620659.11,CT,Laval,2.453,5993,2498,2416,0.29,1480.0,940.0
4620660.01,CT,Laval,2.00015,5572,1806,1790,0.195,1745.0,45.0
4620660.02,CT,Laval,1.42195,5429,2146,2092,0.122,1580.0,510.0
4620660.03,CT,Laval,2.10998,7061,2563,2536,0.18100000000000002,2225.0,315.0
4620661.01,CT,Laval,5.64559,8493,3211,3138,0.166,2730.0,400.0
4620661.03,CT,Laval,19.33846,4661,1565,1537,0.271,1450.0,85.0
4620661.04,CT,Laval,0.96073,4584,1789,1768,0.256,1425.0,350.0
4620662.00,CT,Laval,28.8856,4935,1851,1799,0.247,1570.0,225.0
4620675.00,CT,Repentigny,3.79065,5472,2888,2822,0.218,1540.0,1285.0
4620676.01,CT,Repentigny,1.54906,3590,1415,1386,0.304,1160.0,235.0
4620676.02,CT,Repentigny,1.3288,2891,1130,1120,0.193,1055.0,70.0
4620676.03,CT,Repentigny,1.20354,2416,921,916,0.23399999999999999,870.0,25.0
4620676.04,CT,Repentigny,1.63287,3238,1175,1164,0.217,1125.0,55.0
4620677.01,CT,Repentigny,2.2653,6206,2884,2822,0.20199999999999999,1660.0,1160.0
4620677.02,CT,Repentigny,2.25505,5243,2616,2576,0.16399999999999998,1360.0,1220.0
4620677.05,CT,Repentigny,2.03351,4984,1766,1744,0.20199999999999999,1540.0,205.0
4620677.06,CT,Repentigny,2.87058,6143,2246,2081,0.298,1890.0,190.0
4620677.07,CT,Repentigny,1.03873,4036,1623,1603,0.245,1125.0,475.0
4620677.08,CT,Repentigny,2.49493,7327,2751,2696,0.27899999999999997,2385.0,310.0
4620677.09,CT,Repentigny,1.27016,4380,1623,1598,0.235,1325.0,270.0
4620677.10,CT,Repentigny,1.49531,4224,1668,1603,0.275,1420.0,180.0
4620681.00,CT,Saint-Sulpice,36.4055,3273,1375,1304,0.271,1065.0,240.0
4620682.02,CT,Repentigny,12.27731,2705,1287,1245,0.33399999999999996,970.0,265.0
4620682.03,CT,Repentigny,21.65387,7793,3089,3020,0.28600000000000003,2395.0,615.0
4620682.04,CT,Repentigny,1.16469,3481,1402,1368,0.294,1100.0,265.0
4620682.05,CT,Repentigny,0.77404,3069,1141,1128,0.302,1025.0,120.0
4620682.06,CT,Repentigny,1.73983,4802,1684,1647,0.39899999999999997,1575.0,55.0
4620683.00,CT,Charlemagne,2.31139,5853,2863,2796,0.198,1555.0,1245.0
4620684.03,CT,Terrebonne,17.11139,7528,2611,2558,0.251,2400.0,160.0
4620684.05,CT,Terrebonne,3.96336,5292,1880,1851,0.115,1655.0,145.0
4620684.08,CT,Terrebonne,2.76023,5683,1921,1900,0.203,1820.0,80.0
4620684.09,CT,Terrebonne,10.73645,3289,1231,1197,0.179,1085.0,110.0
4620684.10,CT,Terrebonne,4.14964,3734,1524,1486,0.257,1090.0,400.0
4620684.11,CT,Terrebonne,3.6035,4543,1776,1734,0.303,1265.0,465.0
4620685.02,CT,Mascouche,56.63088,4128,1604,1550,0.282,1285.0,250.0
4620685.03,CT,Mascouche,7.79407,4927,2351,2138,0.14,1575.0,560.0
4620685.04,CT,Mascouche,0.84491,3285,1122,1115,0.184,1050.0,65.0
4620685.05,CT,Mascouche,2.82982,4401,1709,1671,0.192,1215.0,460.0
4620685.06,CT,Mascouche,7.11606,12736,4798,4713,0.126,3810.0,900.0
4620686.01,CT,Mascouche,26.07685,5471,1980,1934,0.242,1740.0,190.0
4620686.02,CT,Mascouche,3.95912,4082,1473,1441,0.249,1275.0,160.0
4620686.03,CT,Mascouche,2.04206,3461,1253,1227,0.221,1135.0,100.0
4620687.01,CT,Terrebonne,3.1236,4394,1654,1637,0.23199999999999998,1365.0,265.0
4620687.03,CT,Terrebonne,15.7804,8937,3133,3066,0.168,2860.0,200.0
4620687.04,CT,Terrebonne,1.75899,5136,1906,1898,0.091,1430.0,445.0
4620687.06,CT,Terrebonne,2.80832,5448,2215,2166,0.249,1430.0,730.0
4620687.07,CT,Terrebonne,1.87623,5835,2096,2079,0.24100000000000002,1995.0,85.0
4620687.09,CT,Terrebonne,20.74881,3124,1184,1158,0.262,1045.0,160.0
4620687.10,CT,Terrebonne,21.85555,8208,2943,2851,0.151,2695.0,160.0
4620688.02,CT,Sainte-Anne-des-Plaines,89.19135,3645,1167,1069,0.32299999999999995,875.0,160.0
4620688.03,CT,Sainte-Anne-des-Plaines,2.06163,5221,1983,1955,0.201,1425.0,530.0
4620688.04,CT,Sainte-Anne-des-Plaines,1.76298,5669,2035,1990,0.205,1580.0,420.0
4620689.01,CT,Terrebonne,2.83382,5510,1992,1906,0.14800000000000002,1715.0,195.0
4620689.02,CT,Terrebonne,1.57099,3743,1332,1314,0.18899999999999997,1125.0,185.0
4620689.03,CT,Terrebonne,3.82131,8164,2910,2841,0.175,2245.0,600.0
4620689.04,CT,Terrebonne,32.14734,5786,2015,1965,0.254,1630.0,320.0
4620690.00,CT,Lavaltrie,65.67535,7002,2785,2667,0.297,2270.0,385.0
4620691.00,CT,Lavaltrie,2.80984,6265,2420,2351,0.222,1920.0,430.0
4620692.00,CT,L'Assomption,64.89777,8829,3390,3309,0.217,2715.0,560.0
4620693.00,CT,L'Assomption,2.25104,5197,2489,2408,0.295,995.0,1410.0
4620694.00,CT,L'Assomption,33.58003,6039,2310,2221,0.203,1980.0,235.0
4620700.01,CT,Terrebonne,1.316,4655,2395,2277,0.273,950.0,1325.0
4620700.03,CT,Terrebonne,1.53565,2823,1276,1253,0.263,760.0,515.0
4620700.04,CT,Terrebonne,1.54976,4490,2288,2251,0.191,1095.0,1165.0
4620701.01,CT,Bois-des-Filion,1.63113,3240,1330,1289,0.133,1085.0,200.0
4620701.02,CT,Bois-des-Filion,2.64508,6245,2635,2594,0.166,1885.0,705.0
4620702.01,CT,Lorraine,2.12721,2566,943,938,0.171,900.0,35.0
4620702.02,CT,Lorraine,3.89469,6913,2351,2325,0.18600000000000003,2295.0,35.0
4620703.02,CT,Rosemère,4.43895,3918,1578,1544,0.319,1305.0,220.0
4620703.03,CT,Rosemère,3.03989,4597,1690,1639,0.239,1495.0,170.0
4620703.04,CT,Rosemère,3.24541,5779,1917,1896,0.193,1800.0,100.0
4620704.01,CT,Boisbriand,1.8077,4500,2307,2172,0.21600000000000003,960.0,1210.0
4620704.04,CT,Boisbriand,1.77156,4589,1675,1662,0.196,1535.0,130.0
4620704.05,CT,Boisbriand,4.9217,6559,2371,2346,0.177,1880.0,460.0
4620704.06,CT,Boisbriand,2.25938,1808,733,697,0.193,560.0,135.0
4620704.08,CT,Boisbriand,14.5785,5005,1462,1406,0.324,850.0,550.0
4620704.09,CT,Boisbriand,2.40926,4355,1789,1657,0.09300000000000001,1010.0,655.0
4620705.01,CT,Sainte-Thérèse,1.61016,3513,1266,1252,0.156,1240.0,10.0
4620705.02,CT,Sainte-Thérèse,1.95577,5367,2638,2580,0.139,1120.0,1455.0
4620706.00,CT,Sainte-Thérèse,1.36219,3729,2145,2020,0.17,560.0,1460.0
4620707.00,CT,Sainte-Thérèse,1.85855,4702,2434,2196,0.213,755.0,1440.0
4620708.01,CT,Sainte-Thérèse,1.19212,4791,2355,2270,0.293,940.0,1330.0
4620708.02,CT,Sainte-Thérèse,1.60822,3923,1875,1826,0.2,1225.0,600.0
4620709.01,CT,Blainville,3.72702,7403,2891,2783,0.168,2215.0,570.0
4620709.02,CT,Blainville,2.34549,5873,2556,2412,0.209,1715.0,695.0
4620710.03,CT,Blainville,3.08341,8192,3129,3013,0.19699999999999998,2465.0,550.0
4620710.05,CT,Blainville,32.56592,6203,1937,1901,0.195,1800.0,85.0
4620710.06,CT,Blainville,2.05883,3537,1250,1236,0.127,1190.0,45.0
4620710.07,CT,Blainville,3.46794,4660,1738,1695,0.16,1495.0,200.0
4620710.08,CT,Blainville,1.19089,4345,1767,1723,0.204,1110.0,610.0
4620710.09,CT,Blainville,3.69379,5594,1586,1567,0.245,1565.0,0.0
4620710.10,CT,Blainville,2.32906,4900,1398,1388,0.175,1325.0,35.0
4620710.11,CT,Blainville,0.94597,2803,1020,1014,0.233,850.0,190.0
4620725.03,CT,Saint-Eustache,1.56201,3666,1463,1439,0.226,1075.0,385.0
4620725.04,CT,Saint-Eustache,2.85815,3342,1338,1310,0.163,1090.0,220.0
4620725.06,CT,Saint-Eustache,51.95907,1766,683,660,0.248,500.0,60.0
4620725.07,CT,Saint-Eustache,1.4373,6440,2168,2159,0.204,2055.0,100.0
4620725.08,CT,Saint-Eustache,5.3674,8220,3130,3087,0.17800000000000002,2770.0,320.0
4620726.01,CT,Saint-Eustache,1.87308,6297,2836,2782,0.115,1635.0,1145.0
4620726.03,CT,Saint-Eustache,1.30848,4892,2303,2226,0.13,1055.0,1165.0
4620726.04,CT,Saint-Eustache,0.78418,1994,702,700,0.09699999999999999,625.0,50.0
4620727.01,CT,Saint-Eustache,1.11888,3290,1730,1694,0.177,695.0,1000.0
4620727.02,CT,Saint-Eustache,1.56225,4247,2008,1950,0.151,1055.0,895.0
4620728.01,CT,Deux-Montagnes,1.74978,6751,2566,2541,0.10099999999999999,1880.0,660.0
4620728.02,CT,Deux-Montagnes,1.98132,4299,1704,1666,0.23800000000000002,1285.0,375.0
4620728.03,CT,Deux-Montagnes,0.92363,2662,1007,991,0.191,845.0,145.0
4620729.00,CT,Deux-Montagnes,1.50319,3840,1839,1787,0.255,1015.0,770.0
4620730.01,CT,Sainte-Marthe-sur-le-Lac,6.36784,9035,3474,3419,0.135,3075.0,340.0
