GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA01_737: Employed,v_CA01_738: Unemployed
4620240.00,CT,Montréal,0.3041,2993,1464,1435,1195,135
4620241.00,CT,Montréal,0.2143,3043,1408,1360,1320,175
4620242.00,CT,Montréal,0.3722,6611,3144,3045,2835,420
4620243.00,CT,Montréal,0.2538,4266,1835,1800,1600,315
4620244.00,CT,Montréal,0.1766,2195,1116,1090,1040,110
4620245.00,CT,Montréal,0.2201,2717,1505,1455,1505,165
4620247.00,CT,Montréal,0.1943,2256,1197,1175,1300,95
4620249.00,CT,Montréal,0.5363,4394,2192,2115,2000,250
4620250.00,CT,Montréal,0.4474,3955,1904,1850,1830,180
4620251.01,CT,Montréal,0.4645,3666,1554,1525,1520,140
4620251.02,CT,Montréal,0.2509,2714,1206,1180,1125,175
4620252.00,CT,Montréal,0.3281,5097,2304,2240,2070,365
4620253.00,CT,Montréal,0.4544,2815,1177,1140,1195,155
4620254.00,CT,Montréal,0.6204,3888,1822,1700,1670,305
4620256.00,CT,Montréal,1.8575,3754,1461,1355,1445,295
4620257.00,CT,Montréal,1.33,4545,1700,1595,1765,245
4620258.00,CT,Montréal,0.401,4920,1779,1680,1685,335
4620259.00,CT,Montréal,0.3558,6030,2416,2225,2410,295
4620260.00,CT,Montréal,0.547,2238,870,830,785,155
4620261.00,CT,Montréal,0.627,2713,1110,1020,1110,170
4620262.00,CT,Montréal,0.7416,4610,1707,1605,1770,245
4620263.00,CT,Montréal,0.7551,4039,1662,1630,1715,170
4620264.01,CT,Montréal,1.2151,5586,2533,2455,2490,175
4620264.02,CT,Montréal,0.8903,4398,2255,2210,2565,205
4620265.00,CT,Montréal,0.4788,4485,2314,2180,2435,180
4620266.00,CT,Montréal,0.761,3296,1734,1680,1420,105
4620267.00,CT,Montréal,1.1017,6214,2575,2480,2675,335
4620268.01,CT,Montréal,0.5766,5540,2808,2750,2475,220
4620268.02,CT,Montréal,0.333,4004,1676,1595,1685,310
4620268.03,CT,Montréal,1.2981,0,1,0,x,x
4620269.00,CT,Montréal,0.7742,4083,2005,1950,1820,380
4620270.00,CT,Montréal,0.6779,4124,2196,2130,2070,185
4620271.00,CT,Montréal,0.4791,3126,1509,1465,1660,75
4620272.00,CT,Montréal,0.4994,3580,1849,1805,1720,175
4620273.00,CT,Montréal,0.5782,4304,2102,2040,2055,195
4620274.00,CT,Montréal,0.48,2995,1406,1365,1310,115
4620275.00,CT,Montréal,0.6162,4071,2095,2045,1870,185
4620276.00,CT,Montréal,0.8755,4863,2516,2455,2225,250
4620277.00,CT,Montréal,0.549,4290,1994,1950,1755,215
4620278.00,CT,Montréal,0.5908,4392,2199,2140,2205,215
4620279.00,CT,Montréal,0.9364,4239,2171,2105,2105,175
4620280.00,CT,Montréal,0.6008,4344,2179,2110,2145,195
4620281.00,CT,Montréal,1.0795,3595,1601,1555,1580,65
4620282.00,CT,Montréal,1.3161,6283,2723,2660,2500,310
4620283.01,CT,Montréal,0.6064,3677,1386,1355,1630,205
4620283.02,CT,Montréal,0.4764,2925,1232,1200,1285,145
4620284.00,CT,Montréal,0.5842,3375,1567,1535,1630,105
4620285.00,CT,Montréal,1.4982,6745,2393,2295,2605,220
4620286.00,CT,Montréal,0.7961,5059,2105,2005,1935,310
4620287.01,CT,Montréal,0.5379,5928,3000,2845,2340,665
4620287.02,CT,Montréal,1.1134,4212,1650,1555,2235,100
4620288.00,CT,Montréal,1.7642,1412,604,595,635,15
4620290.01,CT,Montréal,1.1871,2005,779,750,1050,80
4620290.02,CT,Montréal,1.7237,5915,2039,1985,2915,290
4620290.03,CT,Montréal,0.6369,4052,1614,1575,1980,195
