GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA01_1384: Total population 20 years and over by highest level of schooling
4620649.01,CT,Laval,1.4892,2816,960,935,2260
4620649.02,CT,Laval,1.3086,5629,1937,1875,4335
4620650.01,CT,Laval,0.7576,4576,1643,1595,3565
4620650.02,CT,Laval,0.7254,3907,1421,1370,3010
4620650.03,CT,Laval,2.6683,5451,1858,1825,3760
4620651.01,CT,Laval,2.1519,5859,2004,1990,4230
4620651.02,CT,Laval,5.0996,4513,1444,1410,3055
4620652.01,CT,Laval,3.04,5723,2076,2050,4055
4620652.02,CT,Laval,11.8045,8145,2991,2910,5795
4620652.03,CT,Laval,3.7322,8888,3091,3000,6110
4620653.00,CT,Laval,0.6666,952,372,365,735
4620654.00,CT,Laval,1.631,806,293,280,615
4620655.01,CT,Laval,1.4544,3825,1527,1500,2755
4620655.02,CT,Laval,2.4832,5958,2162,2120,4140
4620656.01,CT,Laval,6.1534,5747,2155,2105,4020
4620656.02,CT,Laval,5.7873,6694,2394,2345,4640
4620657.01,CT,Laval,1.8831,3330,1305,1285,2570
4620657.02,CT,Laval,1.5741,5695,2064,2050,4130
4620657.03,CT,Laval,1.7701,3787,1173,1160,2465
4620658.01,CT,Laval,1.265,4756,1703,1695,3585
4620658.02,CT,Laval,0.8945,3412,1160,1155,2490
4620658.03,CT,Laval,5.3012,6491,2387,2350,4755
4620659.02,CT,Laval,3.3875,6689,2582,2530,4680
4620659.04,CT,Laval,6.2024,2472,868,840,1630
4620659.05,CT,Laval,2.3873,6625,2286,2270,4390
4620659.06,CT,Laval,1.7215,3962,1770,1730,3060
4620659.07,CT,Laval,2.2924,6841,2466,2445,4670
4620660.01,CT,Laval,2.0001,4511,1470,1410,2940
4620660.02,CT,Laval,1.4222,5216,1958,1930,3895
4620660.03,CT,Laval,2.5381,6068,2051,1980,4005
4620661.01,CT,Laval,5.5731,6953,2438,2410,4750
4620661.02,CT,Laval,20.2857,7405,2646,2595,5265
4620662.00,CT,Laval,28.7336,4547,1641,1605,3295
4620675.00,CT,Repentigny,3.2412,5256,2560,2510,4365
4620676.01,CT,Repentigny,1.5197,3546,1387,1360,2670
4620676.02,CT,Repentigny,1.1469,3083,1112,1110,2430
4620676.03,CT,Repentigny,1.2035,2679,925,920,2000
4620676.04,CT,Repentigny,1.4703,3455,1156,1145,2605
4620677.01,CT,Repentigny,2.265,6450,2565,2540,4865
4620677.02,CT,Repentigny,2.2563,5753,2528,2500,4410
4620677.03,CT,Repentigny,2.7727,7080,2460,2405,4815
4620677.05,CT,Repentigny,1.8455,5256,1640,1625,3420
4620677.06,CT,Repentigny,2.7185,2004,643,610,1275
4620677.07,CT,Repentigny,1.0373,4501,1609,1600,3005
