GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA01_1670: Owner households in non-farm, non-reserve private dwellings","v_CA01_1666: Tenant households in non-farm, non-reserve private dwellings"
4620300.00,CT,Verdun,0.5199,2306,1254,1150,135,1005
4620301.00,CT,Verdun,0.4181,4709,2622,2365,660,1695
4620302.00,CT,Verdun,0.2066,2829,1572,1420,255,1150
4620303.00,CT,Verdun,0.2708,2047,1178,1035,140,885
4620304.00,CT,Verdun,0.2849,2679,1590,1445,280,1165
4620305.00,CT,Verdun,0.3523,3715,2145,1945,525,1410
4620306.00,CT,Verdun,0.2241,3062,1630,1480,180,1300
4620307.00,CT,Verdun,0.1794,3405,1712,1550,175,1375
4620308.00,CT,Verdun,0.1776,2692,1422,1275,100,1165
4620309.00,CT,Verdun,0.2098,1256,622,595,165,430
4620310.00,CT,Verdun,0.4674,3344,1708,1585,455,1125
4620311.00,CT,Verdun,0.3505,3891,2103,1880,285,1595
4620312.00,CT,Verdun,0.3083,3215,1706,1620,340,1275
4620313.00,CT,Verdun,0.4107,3307,1564,1495,415,1085
4620314.00,CT,Verdun,0.2762,2567,1254,1205,385,820
4620315.00,CT,Verdun,0.8286,160,0,0,,
4620316.00,CT,Verdun,0.6031,2224,851,835,715,120
4620317.01,CT,Verdun,2.4798,7488,4200,3825,1910,1910
4620317.02,CT,Verdun,1.3157,5668,3197,2935,1735,1170
4620320.00,CT,LaSalle,0.699,4591,2212,2145,1020,1120
4620321.00,CT,LaSalle,0.9756,3004,1441,1395,645,755
4620322.02,CT,LaSalle,0.8043,3789,1708,1665,900,765
4620322.03,CT,LaSalle,0.7232,4704,2449,2400,515,1885
4620322.04,CT,LaSalle,0.4593,3048,1437,1410,510,905
4620323.00,CT,LaSalle,0.6808,3149,1372,1335,450,885
4620324.01,CT,LaSalle,0.7046,4543,2046,1980,685,1280
4620324.02,CT,LaSalle,0.663,2935,1196,1170,415,730
4620325.01,CT,LaSalle,0.3902,3845,1523,1455,620,835
4620325.02,CT,LaSalle,1.0005,6771,3014,2900,780,2120
4620325.03,CT,LaSalle,0.4777,3612,1497,1450,500,950
4620325.04,CT,LaSalle,1.7289,8249,3821,3635,2250,1365
4620326.01,CT,LaSalle,2.5868,2956,1172,1165,350,805
4620326.02,CT,LaSalle,1.0911,3602,1683,1645,590,1050
4620326.03,CT,LaSalle,1.3415,4981,1957,1915,820,1095
4620327.00,CT,LaSalle,1.0984,4887,2193,2135,850,1260
4620328.00,CT,LaSalle,0.4478,1682,859,710,0,705
4620329.00,CT,LaSalle,0.6833,3635,1735,1685,585,1100
4620330.00,CT,Lachine,2.0659,4604,2265,2100,605,1485
4620340.00,CT,Montréal-Ouest,1.4072,5172,1901,1855,1460,390
4620350.00,CT,Westmount,0.5555,2275,1341,1170,415,755
4620351.00,CT,Westmount,0.4603,5068,3087,2745,600,2105
4620352.00,CT,Westmount,0.4867,2681,1314,1160,430,725
4620353.00,CT,Westmount,0.407,2987,1231,1165,715,450
4620354.00,CT,Westmount,0.814,3231,1041,1005,920,80
4620355.00,CT,Westmount,0.3073,1437,636,595,400,195
4620356.00,CT,Westmount,0.996,2048,683,615,605,10
4620360.00,CT,Outremont,1.4336,2242,650,615,485,135
4620361.00,CT,Outremont,0.1261,1519,830,795,215,575
4620362.00,CT,Outremont,0.5335,2567,904,870,615,255
